============================================================
EC Certifiers Batch Extractor
============================================================
Total ECs: 1477
Done: 0, Remaining: 1477
[136/1477] EC0224: 0 certifiers ✓
[137/1477] EC0225: 0 certifiers ✓
[138/1477] EC0227: 1 certifiers ✓
[139/1477] EC0228: 0 certifiers ✓
[140/1477] EC0231: 1 certifiers ✓
💾 Checkpoint | 4.3/min | ETA: 308 min
[141/1477] EC0232: 3 certifiers ✓
[142/1477] EC0233: 0 certifiers ✓
[143/1477] EC0234: 16 certifiers ✓
[144/1477] EC0235: 1 certifiers ✓
[145/1477] EC0237: 1 certifiers ✓
[146/1477] EC0241: 15 certifiers ✓
[147/1477] EC0244: 1 certifiers ✓
[148/1477] EC0246: 6 certifiers ✓
[149/1477] EC0247: 11 certifiers ✓
[150/1477] EC0248: 12 certifiers ✓
[151/1477] EC0249: 37 certifiers ✓
[152/1477] EC0252: 1 certifiers ✓
[153/1477] EC0253: 1 certifiers ✓
[154/1477] EC0254: 3 certifiers ✓
[155/1477] EC0255: 1 certifiers ✓
[156/1477] EC0258: 2 certifiers ✓
[157/1477] EC0259: 0 certifiers ✓
[158/1477] EC0262: 0 certifiers ✓
[159/1477] EC0263: 1 certifiers ✓
[160/1477] EC0264: 10 certifiers ✓
💾 Checkpoint | 4.3/min | ETA: 303 min
[161/1477] EC0271: 1 certifiers ✓
[162/1477] EC0272: 1 certifiers ✓
[163/1477] EC0274: 0 certifiers ✓
[164/1477] EC0275: 0 certifiers ✓
[165/1477] EC0277.01: 5 certifiers ✓
[166/1477] EC0281.01: 1 certifiers ✓
[167/1477] EC0282.01: 5 certifiers ✓
[168/1477] EC0283.01: 3 certifiers ✓
[169/1477] EC0285: 13 certifiers ✓
[170/1477] EC0288: 16 certifiers ✓
[171/1477] EC0290: 3 certifiers ✓
[172/1477] EC0291: 1 certifiers ✓
[173/1477] EC0292: 0 certifiers ✓
[174/1477] EC0293: 5 certifiers ✓
[175/1477] EC0294: 0 certifiers ✓
[176/1477] EC0295: 0 certifiers ✓
[177/1477] EC0296: 1 certifiers ✓
[178/1477] EC0298: 1 certifiers ✓
[179/1477] EC0299: 0 certifiers ✓
[180/1477] EC0301: 218 certifiers ✓
💾 Checkpoint | 4.3/min | ETA: 298 min
[181/1477] EC0302: 0 certifiers ✓
[182/1477] EC0303: 14 certifiers ✓
[183/1477] EC0304: 26 certifiers ✓
[184/1477] EC0305: 84 certifiers ✓
[185/1477] EC0306: 12 certifiers ✓
[186/1477] EC0307.01: 56 certifiers ✓
[187/1477] EC0308: 25 certifiers ✓
[188/1477] EC0309: 0 certifiers ✓
[189/1477] EC0310: 0 certifiers ✓
[190/1477] EC0311: 1 certifiers ✓
[191/1477] EC0312: 0 certifiers ✓
[192/1477] EC0313: 4 certifiers ✓
[193/1477] EC0314: 4 certifiers ✓
[194/1477] EC0315: 4 certifiers ✓
[195/1477] EC0316: 1 certifiers ✓
[196/1477] EC0317: 1 certifiers ✓
[197/1477] EC0318: 2 certifiers ✓
[198/1477] EC0319: 4 certifiers ✓
[199/1477] EC0320: 5 certifiers ✓
[200/1477] EC0322: 2 certifiers ✓
💾 Checkpoint | 4.3/min | ETA: 294 min
[201/1477] EC0324: 2 certifiers ✓
[202/1477] EC0325: 3 certifiers ✓
[203/1477] EC0326: 1 certifiers ✓
[204/1477] EC0327: 0 certifiers ✓
[205/1477] EC0329: 14 certifiers ✓
[206/1477] EC0330: 2 certifiers ✓
[207/1477] EC0334: 10 certifiers ✓
[208/1477] EC0335: 16 certifiers ✓
[209/1477] EC0336: 15 certifiers ✓
[210/1477] EC0337: 5 certifiers ✓
[211/1477] EC0341: 2 certifiers ✓
[212/1477] EC0349: 0 certifiers ✓
[213/1477] EC0350: 1 certifiers ✓
[214/1477] EC0351: 0 certifiers ✓
[215/1477] EC0352: 0 certifiers ✓
[216/1477] EC0354: 6 certifiers ✓
[217/1477] EC0357: 1 certifiers ✓
[218/1477] EC0358: 0 certifiers ✓
[219/1477] EC0359: 4 certifiers ✓
[220/1477] EC0360: 6 certifiers ✓
💾 Checkpoint | 4.3/min | ETA: 289 min
[221/1477] EC0361.01: 21 certifiers ✓
[222/1477] EC0362: 23 certifiers ✓
[223/1477] EC0363: 8 certifiers ✓
[224/1477] EC0364: 2 certifiers ✓
[225/1477] EC0366: 123 certifiers ✓
[226/1477] EC0368: 0 certifiers ✓
[227/1477] EC0372: 6 certifiers ✓
[228/1477] EC0373: 2 certifiers ✓
[229/1477] EC0374: 6 certifiers ✓
[230/1477] EC0376: 0 certifiers ✓
[231/1477] EC0377: 9 certifiers ✓
[232/1477] EC0381: 2 certifiers ✓
[233/1477] EC0382: 0 certifiers ✓
[234/1477] EC0383: 3 certifiers ✓
[235/1477] EC0384.01: 2 certifiers ✓
[236/1477] EC0385.01: 22 certifiers ✓
[237/1477] EC0388: 6 certifiers ✓
[238/1477] EC0389: 2 certifiers ✓
[239/1477] EC0390: 2 certifiers ✓
[240/1477] EC0391.01: 65 certifiers ✓
💾 Checkpoint | 4.4/min | ETA: 284 min
[241/1477] EC0394: 10 certifiers ✓
[242/1477] EC0396.01: 4 certifiers ✓
[243/1477] EC0397.01: 38 certifiers ✓
[244/1477] EC0398: 13 certifiers ✓
[245/1477] EC0400: 10 certifiers ✓
[246/1477] EC0401: 50 certifiers ✓
[247/1477] EC0402: 32 certifiers ✓
[248/1477] EC0404: 1 certifiers ✓
[249/1477] EC0406: 0 certifiers ✓
[250/1477] EC0407: 0 certifiers ✓
[251/1477] EC0408: 0 certifiers ✓
[252/1477] EC0410.01: 0 certifiers ✓
[253/1477] EC0411: 0 certifiers ✓
[254/1477] EC0412: 3 certifiers ✓
[255/1477] EC0413: 0 certifiers ✓
[256/1477] EC0414: 1 certifiers ✓
[257/1477] EC0416: 0 certifiers ✓
[258/1477] EC0417: 0 certifiers ✓
[259/1477] EC0419: 0 certifiers ✓
[260/1477] EC0420: 0 certifiers ✓
💾 Checkpoint | 4.4/min | ETA: 279 min
[261/1477] EC0421: 0 certifiers ✓
[262/1477] EC0422: 9 certifiers ✓
[263/1477] EC0423: 0 certifiers ✓
[264/1477] EC0424: 0 certifiers ✓
[265/1477] EC0426.01: 1 certifiers ✓
[266/1477] EC0428: 14 certifiers ✓
[267/1477] EC0429: 0 certifiers ✓
[268/1477] EC0431: 1 certifiers ✓
[269/1477] EC0432: 8 certifiers ✓
[270/1477] EC0433: 6 certifiers ✓
[271/1477] EC0435: 69 certifiers ✓
[272/1477] EC0436: 0 certifiers ✓
[273/1477] EC0437: 1 certifiers ✓
[274/1477] EC0438: 4 certifiers ✓
[275/1477] EC0439: 2 certifiers ✓
[276/1477] EC0440: 0 certifiers ✓
[277/1477] EC0441: 0 certifiers ✓
[278/1477] EC0443: 10 certifiers ✓
[279/1477] EC0444: 0 certifiers ✓
[280/1477] EC0445: 5 certifiers ✓
💾 Checkpoint | 4.4/min | ETA: 275 min
[281/1477] EC0446: 3 certifiers ✓
[282/1477] EC0447: 9 certifiers ✓
[283/1477] EC0448: 2 certifiers ✓
[284/1477] EC0449.01: 14 certifiers ✓
[285/1477] EC0451: 0 certifiers ✓
[286/1477] EC0452: 1 certifiers ✓
[287/1477] EC0453: 0 certifiers ✓
[288/1477] EC0454: 16 certifiers ✓
[289/1477] EC0455: 0 certifiers ✓
[290/1477] EC0456: 1 certifiers ✓
[291/1477] EC0458: 1 certifiers ✓
[292/1477] EC0459.01: 8 certifiers ✓
[293/1477] EC0460.01: 9 certifiers ✓
[294/1477] EC0461.01: 7 certifiers ✓
[295/1477] EC0462: 15 certifiers ✓
[296/1477] EC0463: 0 certifiers ✓
[297/1477] EC0464: 0 certifiers ✓
[298/1477] EC0465: 1 certifiers ✓
[299/1477] EC0466: 3 certifiers ✓
[300/1477] EC0467: 1 certifiers ✓
💾 Checkpoint | 4.4/min | ETA: 270 min
[301/1477] EC0468: 6 certifiers ✓
[302/1477] EC0469: 0 certifiers ✓
[303/1477] EC0470: 4 certifiers ✓
[304/1477] EC0471: 0 certifiers ✓
[305/1477] EC0472: 1 certifiers ✓
[306/1477] EC0473: 2 certifiers ✓
[307/1477] EC0474: 24 certifiers ✓
[308/1477] EC0475: 5 certifiers ✓
[309/1477] EC0476: 5 certifiers ✓
[310/1477] EC0477: 14 certifiers ✓
[311/1477] EC0478: 12 certifiers ✓
[312/1477] EC0479: 9 certifiers ✓
[313/1477] EC0480: 0 certifiers ✓
[314/1477] EC0481: 1 certifiers ✓
[315/1477] EC0482: 1 certifiers ✓
[316/1477] EC0483: 1 certifiers ✓
[317/1477] EC0484: 0 certifiers ✓
[318/1477] EC0485: 5 certifiers ✓
[319/1477] EC0486: 1 certifiers ✓
[320/1477] EC0487: 2 certifiers ✓
💾 Checkpoint | 4.4/min | ETA: 265 min
[321/1477] EC0488: 0 certifiers ✓
[322/1477] EC0490: 6 certifiers ✓
[323/1477] EC0491: 13 certifiers ✓
[324/1477] EC0492: 7 certifiers ✓
[325/1477] EC0493: 5 certifiers ✓
[326/1477] EC0494: 4 certifiers ✓
[327/1477] EC0495: 3 certifiers ✓
[328/1477] EC0496: 0 certifiers ✓
[329/1477] EC0497: 19 certifiers ✓
[330/1477] EC0498: 0 certifiers ✓
[331/1477] EC0499: 0 certifiers ✓
[332/1477] EC0500: 34 certifiers ✓
[333/1477] EC0501: 0 certifiers ✓
[334/1477] EC0502: 0 certifiers ✓
[335/1477] EC0503: 0 certifiers ✓
[336/1477] EC0504: 2 certifiers ✓
[337/1477] EC0505: 1 certifiers ✓
